competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202008,3,35,350950,J,6203100,1,317210,101,8,19,"44,00",1,1,0,1,20,0,0,0,"1444,00",6,0,1,202008,0,5,"1444,00"
202008,3,35,355030,J,6204000,1,212420,101,8,39,"40,00",1,1,0,1,20,0,0,0,"5468,68",6,0,1,202008,0,5,"5468,68"
202008,3,33,330455,J,6201501,1,212405,101,8,21,"40,00",1,1,0,1,20,0,0,0,"4046,97",3,0,1,202008,0,5,"4046,97"
202008,3,33,330455,J,6201501,-1,212405,101,80,31,"40,00",1,3,0,1,31,0,0,0,"12500,00",7,0,1,202008,0,5,"12500,00"
202008,5,53,530010,J,6204000,1,212405,101,7,40,"40,00",3,1,0,1,20,0,0,0,"1841,23",9,0,1,202008,0,5,"1841,23"
202008,3,31,310620,J,6202300,1,317210,101,8,21,"40,00",3,1,0,1,20,0,0,0,"1540,00",6,0,1,202008,0,5,"1540,00"
202008,3,31,310620,J,6202300,1,317210,101,9,24,"44,00",3,1,0,1,20,0,0,0,"1549,20",5,0,1,202008,0,5,"1549,20"
202008,3,35,355030,J,6209100,1,212410,101,9,29,"44,00",1,1,0,1,20,0,0,0,"3840,00",1,0,1,202008,0,5,"3840,00"
202008,3,31,317020,J,6204000,-1,317110,101,9,27,"40,00",1,1,0,1,40,0,0,0,"3561,51",8,0,1,202008,0,5,"3561,51"
202008,3,33,330220,J,6209100,-1,212420,101,7,25,"46,50",6,1,0,1,40,0,0,0,"645,00",5,0,1,202008,0,5,"645,00"
202008,3,35,355030,J,6209100,1,212405,101,9,38,"40,00",1,1,0,1,20,0,0,0,"10500,00",5,0,1,202008,0,5,"10500,00"
202008,3,33,330455,J,6201501,1,212405,101,9,28,"40,00",1,1,0,1,20,0,0,0,"6800,00",7,0,1,202008,0,5,"6800,00"
202008,3,35,355030,J,6201501,-1,212420,101,9,41,"40,00",1,1,0,1,40,0,0,0,"3000,00",9,0,1,202008,0,5,"3000,00"
202008,3,31,310620,J,6201501,1,212420,101,9,30,"40,00",1,1,0,1,20,0,0,0,"1693,27",9,0,1,202008,0,5,"1693,27"
202008,3,31,317020,J,6204000,1,212420,101,7,33,"40,00",1,1,0,1,20,0,0,0,"1498,59",8,0,1,202008,0,5,"1498,59"
202008,3,35,350570,J,6201501,1,212215,101,9,49,"40,00",2,1,0,1,20,0,0,0,"2500,00",8,0,1,202008,0,5,"2500,00"
202008,3,32,320530,J,6204000,-1,212310,101,80,38,"40,00",3,1,0,1,40,0,0,0,"6000,00",5,0,1,202008,0,5,"6000,00"
