Código,Descrição
101,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT"
102,Empregado - Trabalhador rural por pequeno prazo da Lei 11.718/2008
103,Empregado - Aprendiz
104,Empregado - Doméstico
105,Empregado - Contrato a termo firmado nos termos da Lei 9.601/1998
106,Trabalhador temporário - Contrato nos termos da Lei 6.019/1974
107,Empregado - Contrato de trabalho Verde e Amarelo - sem acordo para antecipação mensal da multa rescisória do FGTS
108,Empregado - Contrato de trabalho Verde e Amarelo - com acordo para antecipação mensal da multa rescisória do FGTS
111,Empregado - Contrato de trabalho intermitente
999,Não Identificado
